NtsbNo,CompletionStatus,EventType,Mkey,IsStudy,EventDate,City,State,Country,ReportNo,N#,VehicleMake,VehicleModel,HighestInjuryLevel,InjuryOngroundCount,InjuryOnboardCount,HasSafetyRec,Mode,ReportNumber,ReportType,DocketPublishDate,OriginalPublishedDate,ReportDate,MostRecentReportType,EV_ID,RepGenFlag
GAA18CA480,Completed,Accident,98039,false,2018-08-09T12:25:00Z,Raton,New Mexico,United States,,N104CC,Piper,PA18,None,0,0,false,Aviation,,DirectorBrief,2019-03-25T15:17:00Z,2019-06-10T04:00:00Z,,Final,,
GAA18CA479,Completed,Accident,98033,false,2018-08-09T11:00:00Z,Merritt Island,Florida,United States,,N487JK,Piper,PA28,None,0,0,false,Aviation,,DirectorBrief,2019-08-09T20:15:00Z,2019-11-06T05:00:00Z,,Final,,
CEN18WA325,N/A,Accident,98034,false,2018-08-09T11:00:00Z,Munster,,Germany,,PH-CJX,Beech,58,Fatal,0,2,false,Aviation,,None,,,,,,
CEN18CA323,Completed,Accident,98025,false,2018-08-08T21:00:00Z,Greeley,Colorado,United States,,N20JA,Cessna,172,None,0,0,false,Aviation,,DirectorBrief,2018-09-27T12:33:00Z,2019-03-18T04:00:00Z,,Final,,
WPR18LA215,Completed,Accident,98028,false,2018-08-08T19:28:00Z,Lewiston,Idaho,United States,,N255,Cessna,T337,None,0,0,false,Aviation,,DirectorBrief,2020-02-04T01:03:00Z,2020-06-03T04:00:00Z,,Final,,
WPR18LA221,Completed,Accident,98062,false,2018-08-08T10:20:00Z,Honolulu,Hawaii,United States,,N369MH,Hughes,369,None,0,0,false,Aviation,,DirectorBrief,2021-03-23T12:00:00Z,2021-05-27T04:00:00Z,,Final,,
WPR18WA235,N/A,Accident,98130,false,2018-08-08T04:00:00Z,Diatar,,Mauritania,,F-GOKZ,Ayres,S2R,Fatal,0,1,false,Aviation,,None,,,,,,
DCA18WA284,N/A,Incident,98240,false,2018-08-08T04:00:00Z,Lahore,,Pakistan,,AP-BID,Boeing,777,None,0,,false,Aviation,,None,,,,,,
ANC18LA064,Completed,Accident,98036,false,2018-08-07T13:15:00Z,Iliamna,Alaska,United States,,N7379U,Cessna,207,None,,0,false,Aviation,,DirectorBrief,2022-03-16T11:00:00Z,2022-04-01T04:00:00Z,,Final,,
WPR18LA214,Completed,Accident,98026,false,2018-08-07T11:00:00Z,Basin City,Washington,United States,,N607RA,Bell,206,Minor,0,1,false,Aviation,,DirectorBrief,2020-02-21T18:49:00Z,2020-06-03T04:00:00Z,,Final,,
CEN18LA321,Completed,Accident,98013,false,2018-08-06T16:15:00Z,Sedalia,Missouri,United States,,N4996R,Cessna,A188,Minor,0,1,false,Aviation,,DirectorBrief,2019-09-19T18:12:00Z,2019-12-16T05:00:00Z,,Final,,
CEN18LA317,Completed,Accident,98008,false,2018-08-06T13:51:00Z,Pomona,Missouri,United States,,N76524,Cessna,120,None,0,0,false,Aviation,,DirectorBrief,2019-09-06T14:56:00Z,2019-11-19T05:00:00Z,,Final,,
GAA18CA470,Completed,Accident,98002,false,2018-08-06T12:00:00Z,Mansfield,Ohio,United States,,N454WS,WALTER C SMYTHE,TANGO XR,Minor,0,1,false,Aviation,,DirectorBrief,2018-10-31T11:54:00Z,2019-03-18T04:00:00Z,,Final,,
CEN18WA318,N/A,Accident,98010,false,2018-08-06T11:45:00Z,Puy-de-Dome Mazoires,,France,,F-GTNV,Cessna,172,Fatal,0,3,false,Aviation,,None,,,,,,
GAA18CA478,Completed,Accident,98020,false,2018-08-06T11:30:00Z,Crystal River,Florida,United States,,N9608H,Cessna,172,None,0,0,false,Aviation,,DirectorBrief,2018-10-31T12:18:00Z,2019-03-18T04:00:00Z,,Final,,
ERA18WA275,N/A,Incident,104578,false,2018-08-06T04:00:00Z,Contamana,Other Foreign,Peru,,OB-1714,Piper,PA42,None,,0,false,Aviation,,None,,,2022-02-01T18:10:06.307Z,Prelim,,
DCA24WA108,N/A,Incident,193845,false,2018-08-06T04:00:00Z,Casablanca,,Morocco,,CN-RNJ,Boeing,737,,,,false,Aviation,,None,,,2024-02-27T00:00:24.633Z,Prelim,,
ERA18LA211,Completed,Accident,98005,false,2018-08-05T16:00:00Z,Churchville,Maryland,United States,,N2832H,Schweizer,SGS233,None,0,0,false,Aviation,,DirectorBrief,2019-02-14T17:55:00Z,2019-09-27T04:00:00Z,,Final,,
GAA18CA468,Completed,Accident,98000,false,2018-08-05T13:30:00Z,Lovelock,Nevada,United States,,N9867X,Cessna,185,None,0,0,false,Aviation,,DirectorBrief,2019-05-28T18:43:00Z,2019-09-26T04:00:00Z,,Final,,
WPR18FA211,Completed,Accident,97994,false,2018-08-05T13:29:00Z,Santa Ana,California,United States,,N727RP,Cessna,414,Fatal,0,5,false,Aviation,,DirectorBrief,2021-01-05T13:00:00Z,2021-05-05T04:00:00Z,,Final,,
CEN18LA316,Completed,Accident,97997,false,2018-08-05T09:30:00Z,Wiley,Colorado,United States,,N90990,Champion,7GCBC,Serious,0,1,false,Aviation,,DirectorBrief,2018-09-27T12:33:00Z,2019-09-27T04:00:00Z,,Final,,
WPR18TA212,Completed,Accident,97998,false,2018-08-05T09:00:00Z,Fairfield,Utah,United States,,N951RA,ICP,Savannah,Minor,0,1,false,Aviation,,DirectorBrief,2018-10-30T16:11:00Z,2019-09-27T04:00:00Z,,Final,,
ANC18FA063,Completed,Accident,97999,false,2018-08-04T18:53:00Z,Talkeetna,Alaska,United States,,N323KT,De Havilland,DHC-2,Fatal,0,5,false,Aviation,,DirectorBrief,2019-10-31T14:05:00Z,2019-12-16T05:00:00Z,,Final,,
GAA18CA471,Completed,Accident,98003,false,2018-08-04T18:15:00Z,Dowagiac,Michigan,United States,,N8994V,Cessna,172,Minor,0,2,false,Aviation,,DirectorBrief,2019-06-05T15:03:00Z,2019-09-26T04:00:00Z,,Final,,
GAA18CA472,Completed,Accident,98007,false,2018-08-04T17:00:00Z,Mount Holly,New Jersey,United States,,N1160D,Cessna,140,Minor,0,1,false,Aviation,,DirectorBrief,2019-03-25T15:04:00Z,2019-06-10T04:00:00Z,,Final,,
GAA18CA469,Completed,Accident,98001,false,2018-08-04T16:30:00Z,Kenai,Alaska,United States,,N8443B,Rans,S7,Minor,0,1,false,Aviation,,DirectorBrief,2019-03-25T15:00:00Z,2019-06-10T04:00:00Z,,Final,,
CEN18LA319,Completed,Accident,98011,false,2018-08-04T16:00:00Z,Knox,Indiana,United States,,N533JW,Beech,35,None,0,0,false,Aviation,,DirectorBrief,2019-07-25T20:07:00Z,2019-11-19T05:00:00Z,,Final,,
GAA18CA502,Completed,Accident,98135,false,2018-08-04T15:00:00Z,Dansville,New York,United States,,N851EJ,WSK PZL MIELEC,M-18A,None,0,0,false,Aviation,,DirectorBrief,2018-11-19T11:55:00Z,2019-03-18T04:00:00Z,,Final,,
ERA18LA210,Completed,Accident,97993,false,2018-08-04T13:00:00Z,Lakewood,New Jersey,United States,,N87000,Champion,7GCAA,Minor,0,1,false,Aviation,,DirectorBrief,2021-04-13T19:00:00Z,2021-05-27T04:00:00Z,,Final,,
GAA18CA473,Completed,Accident,98009,false,2018-08-04T12:30:00Z,Greeley,Colorado,United States,,N56LK,Vans,RV6,Serious,0,2,false,Aviation,,DirectorBrief,2018-10-31T11:59:00Z,2019-03-18T04:00:00Z,,Final,,
GAA18CA485,Completed,Accident,98058,false,2018-08-04T12:00:00Z,Sallisaw,Oklahoma,United States,,N707TM,Cessna,172,None,0,0,false,Aviation,,DirectorBrief,2019-05-09T19:53:00Z,2019-09-26T04:00:00Z,,Final,,
CEN18FA310,Completed,Accident,97988,false,2018-08-04T11:45:00Z,Ponca City,Oklahoma,United States,,N13EP,Extra,EA 400,Fatal,,5,false,Aviation,,DirectorBrief,2020-11-03T19:00:00Z,2021-08-24T04:00:00Z,,Final,,
ERA18FA208,Completed,Accident,97987,false,2018-08-04T11:00:00Z,Foley,Alabama,United States,,N424A,Champion,8GCBC,Fatal,0,2,false,Aviation,,DirectorBrief,2020-03-18T15:53:00Z,2020-04-20T04:00:00Z,,Final,,
CEN18WA312,N/A,Accident,97991,false,2018-08-04T09:10:00Z,Fratauti,,Romania,,D-EHHH,Steen,Skybolt,Fatal,0,2,false,Aviation,,None,,,,Prelim,,
CEN18LA313,Completed,Accident,97992,false,2018-08-03T17:05:00Z,Midland,Michigan,United States,,N5901X,Brantly,B-2,None,0,0,false,Aviation,,DirectorBrief,2020-06-02T13:42:00Z,2020-08-03T04:00:00Z,,Final,,
CEN18LA314,Completed,Accident,97995,false,2018-08-03T16:30:00Z,Mullen,Nebraska,United States,,N130TG,Airbus,EC 130 T2,Serious,0,1,false,Aviation,,DirectorBrief,2019-08-19T14:14:00Z,2019-11-19T05:00:00Z,,Final,,
GAA18CA467,Completed,Accident,97983,false,2018-08-03T11:25:00Z,Greenville,South Carolina,United States,,N59PR,Beech,58,None,0,0,false,Aviation,,DirectorBrief,2019-05-09T19:24:00Z,2019-09-26T04:00:00Z,,Final,,
CEN18LA309,Completed,Accident,97986,false,2018-08-03T09:15:00Z,Hartsel,Colorado,United States,,N2025J,Cameron,A 250,Fatal,0,2,false,Aviation,,DirectorBrief,2019-03-20T16:38:00Z,2019-09-27T04:00:00Z,,Final,,
CEN18LA315,Completed,Accident,97996,false,2018-08-03T09:15:00Z,Dallas,Texas,United States,,N2546B,COLUMBIA AIRCRAFT MFG,LC41-550FG,None,0,0,false,Aviation,,DirectorBrief,2018-10-04T16:42:00Z,2019-09-27T04:00:00Z,,Final,,
CEN18WA394,N/A,Accident,98397,false,2018-08-02T20:30:00Z,Décines,,France,,F-GKEC,Piper,PA28,None,0,,false,Aviation,,None,,,,,,
CEN18LA307,Completed,Accident,97976,false,2018-08-02T20:00:00Z,Escanaba,Michigan,United States,,N142NV,Gerald Dan Coppock,Bade-E,None,0,0,false,Aviation,,DirectorBrief,2020-01-31T20:00:00Z,2020-06-03T04:00:00Z,,Final,,
