NtsbNo,CompletionStatus,EventType,Mkey,IsStudy,EventDate,City,State,Country,ReportNo,N#,VehicleMake,VehicleModel,HighestInjuryLevel,InjuryOngroundCount,InjuryOnboardCount,HasSafetyRec,Mode,ReportNumber,ReportType,DocketPublishDate,OriginalPublishedDate,ReportDate,MostRecentReportType,EV_ID,RepGenFlag
GAA23WA097,N/A,Accident,106899,false,2022-12-27T05:00:00Z,Puerto Vallarta,,Mexico,,N541DW,Cessna,310F,Fatal,,2,false,Aviation,,None,,,2023-03-15T18:18:24.453Z,Prelim,,
CEN23LA072,Completed,Accident,106512,false,2022-12-27T05:00:00Z,Brookshire,Texas,United States,,N282TX,Piper,PA46,None,0,0,false,Aviation,,DirectorBrief,2023-01-13T20:00:00Z,2023-01-26T05:00:00Z,2023-01-03T22:28:31.53Z,Final,,
ERA23LA094,Completed,Accident,106492,false,2022-12-26T22:35:00Z,Franklin,Virginia,United States,,N177D,Cessna,177,Minor,,1,false,Aviation,,DirectorBrief,2023-06-15T17:00:00Z,2023-06-15T04:00:00Z,2022-12-28T19:29:06.67Z,Final,,
ENG23WA007,N/A,Incident,106526,false,2022-12-26T20:37:00Z,Mogadishu,Other Foreign,Somalia,,C5-MAB,Boeing,737,None,,0,false,Aviation,,None,,,2023-01-19T20:38:50.167Z,Prelim,,
WPR23LA076,Completed,Accident,106498,false,2022-12-26T18:45:00Z,Morgan,Utah,United States,,N210CU,Cessna,210N,None,,0,false,Aviation,,DirectorBrief,2024-06-20T17:00:00Z,2024-06-20T04:00:00Z,2023-01-06T08:36:38.853Z,Final,,
GAA23WA076,N/A,Accident,106772,false,2022-12-26T16:53:00Z,Wedderburn,,Australia,,N600,BANUS MARK,GLASAIR SUPER II FT,Fatal,,2,false,Aviation,,None,,,2023-02-24T05:25:29.718Z,Prelim,,
CEN23LA070,Completed,Accident,106509,false,2022-12-26T15:30:00Z,Navasota,Texas,United States,,N26625,Taylorcraft,BF,None,,0,false,Aviation,,DirectorBrief,2023-01-27T05:00:00Z,2023-02-09T05:00:00Z,2023-01-12T22:34:16.89Z,Final,,
ERA23LA095,Completed,Accident,106494,false,2022-12-26T14:35:00Z,Hampton,New Hampshire,United States,,N2895Z,Bellanca,7ECA,None,0,0,false,Aviation,,DirectorBrief,2023-06-15T17:00:00Z,2023-06-15T04:00:00Z,2022-12-29T20:19:51.052Z,Final,,
CEN23LA069,Completed,Accident,106503,false,2022-12-26T14:00:00Z,South St. Paul,Minnesota,United States,,N51115,Cessna,150J,None,,0,false,Aviation,,DirectorBrief,2023-03-30T17:00:00Z,2023-03-30T04:00:00Z,2023-01-10T03:25:43.545Z,Final,,
WPR23LA075,Completed,Accident,106497,false,2022-12-26T13:50:00Z,Payson,Arizona,United States,,N749PJ,AMERICAN CHAMPION AIRCRAFT,8GCBC,None,,0,false,Aviation,,DirectorBrief,2023-01-31T15:00:00Z,2023-01-25T05:00:00Z,2022-12-28T03:36:12.583Z,Final,,
ERA23LA093,Completed,Accident,106491,false,2022-12-26T12:22:00Z,Annapolis,Maryland,United States,,N1867H,Piper,PA-28-151,Minor,,1,false,Aviation,,DirectorBrief,2024-05-02T17:00:00Z,2024-05-02T04:00:00Z,2022-12-29T21:53:12.654Z,Final,,
DCA23WA161,N/A,Accident,106713,false,2022-12-26T12:00:00Z,Bremen,Other Foreign,Germany,,EI-HEY,Boeing,737,Serious,0,1,false,Aviation,,None,,,2023-03-23T02:00:01.381Z,Prelim,,
ENG23WA006,N/A,Incident,106525,false,2022-12-26T06:43:00Z,Mogadishu,Other Foreign,Somalia,,ET-APL,Boeing,737,None,,0,false,Aviation,,None,,,2023-01-20T22:55:50.903Z,Prelim,,
GAA23WA051,N/A,Accident,106531,false,2022-12-25T17:52:00Z,Bulman,,Australia,,VH-TFT,Cessna,210N,Fatal,,2,false,Aviation,,None,,,2023-01-04T19:25:14.162Z,Prelim,,
ENG23WA008,N/A,Incident,106527,false,2022-12-24T21:56:00Z,Guadalajara,,Mexico,,XA-VIO,Airbus,A320,,,,false,Aviation,,None,,,2023-07-20T17:27:13.076Z,Prelim,,
WPR23LA077,Completed,Accident,106499,false,2022-12-24T18:53:00Z,Livermore,California,United States,,N65Y,Beech,V35B,Serious,,1,false,Aviation,,DirectorBrief,2025-01-14T18:00:00Z,2025-01-16T05:00:00Z,2023-01-10T06:01:39.336Z,Final,,
DCA23LA107,Completed,Accident,106510,false,2022-12-24T05:00:00Z,Miami,Florida,United States,,N456FX,GULFSTREAM AEROSPACE,GIV-X (G450),Serious,,1,false,Aviation,,DirectorBrief,2023-04-20T19:00:00Z,2023-04-20T04:00:00Z,2023-01-04T22:26:29.773Z,Final,,
GAA23WA112,N/A,Incident,106981,false,2022-12-22T20:07:00Z,Akureyri,,Iceland,,TF-MYB,Beecraft,200GT,None,,0,false,Aviation,,None,,,2023-06-26T20:02:09.508Z,Prelim,,
DCA23FM010,Completed,,106490,false,2022-12-22T18:48:00Z,New York,New York,United States,MIR2417,,,,Minor,,,true,Marine,MIR2417,Report,2023-12-22T17:00:00Z,2024-07-30T04:00:00Z,2024-07-09T04:00:00Z,Final,,
WPR23FA073,Completed,Accident,106489,false,2022-12-22T17:18:00Z,Santa Monica,California,United States,,N7032X,Cessna,150A,Fatal,,2,false,Aviation,,DirectorBrief,2025-01-29T18:00:00Z,2025-01-29T05:00:00Z,2023-01-12T00:33:34.361Z,Final,,
GAA23WA046,N/A,Accident,106502,false,2022-12-22T08:20:00Z,Brasnorte,Other Foreign,Brazil,,PP-IRC,Air Tractor,AT502,Fatal,,1,false,Aviation,,None,,,2022-12-28T22:25:05.779Z,Prelim,,
GAA23WA045,N/A,Accident,106493,false,2022-12-22T05:00:00Z,Ocean,,Mexico,,XA-BNA,Bell,412EP,Fatal,,2,false,Aviation,,None,,,2023-11-17T23:59:45.521Z,Prelim,,
CEN23LA068,Completed,Accident,106486,false,2022-12-21T21:54:00Z,Reserve,Louisiana,United States,,N321GD,Grumman American,AA-5B,None,,0,false,Aviation,,DirectorBrief,2023-06-22T17:00:00Z,2023-06-22T04:00:00Z,2022-12-28T01:09:26.25Z,Final,,
CEN23LA067,Completed,Accident,106483,false,2022-12-21T16:47:00Z,Auburn Hills,Michigan,United States,,N8768U,Cessna,172F,Minor,,1,false,Aviation,,DirectorBrief,2023-06-22T17:00:00Z,2023-06-22T04:00:00Z,2022-12-22T23:39:15.855Z,Final,,
ENG23WA011,N/A,Incident,106564,false,2022-12-20T19:43:00Z,Geneva,,Switzerland,,M-KNOX,Cessna,525C,,,,false,Aviation,,None,,,2023-03-07T00:12:17.39Z,Prelim,,
GAA23WA094,N/A,Accident,106888,false,2022-12-20T17:10:00Z,Vélez-Málaga,,Spain,,N78VE,Mooney,M20R,None,,0,false,Aviation,,None,,,2023-03-14T02:51:47.786Z,Prelim,,
CEN23LA091,Completed,Accident,106625,false,2022-12-19T21:15:00Z,Pocahantas,Iowa,United States,,2930J,Cessna,150G,None,,0,false,Aviation,,DirectorBrief,2023-04-20T17:00:00Z,2023-04-20T04:00:00Z,2023-01-24T21:39:40.002Z,Final,,
CEN23LA066,Completed,Accident,106479,false,2022-12-19T17:05:00Z,Harrison,Arkansas,United States,,N8137P,Beech,A36,None,0,0,false,Aviation,,DirectorBrief,2024-03-28T17:00:00Z,2024-03-28T04:00:00Z,2023-01-31T18:15:35.166Z,Final,,
WPR23LA085,Completed,Accident,106555,false,2022-12-19T05:00:00Z,Benson,Arizona,United States,,N518DT,Auto-Gyro,Cavalon,Minor,,1,false,Aviation,,DirectorBrief,2023-03-02T19:00:00Z,2023-03-02T05:00:00Z,2023-01-12T23:25:13.895Z,Final,,
DCA23LA172,Completed,Incident,106734,false,2022-12-18T16:51:00Z,Kahului,Hawaii,United States,,N212UA,Boeing,777,None,0,0,false,Aviation,,DirectorBrief,2023-08-10T18:30:00Z,2023-08-10T04:00:00Z,2023-03-22T16:48:54.698Z,Final,,
WPR23LA070,Completed,Accident,106476,false,2022-12-18T16:30:00Z,Afton,Wyoming,United States,,N78HJ,Vans,RV6,Minor,0,1,false,Aviation,,DirectorBrief,2023-06-23T17:00:00Z,2023-06-23T04:00:00Z,2023-01-11T03:23:09.062Z,Final,,
WPR23LA071,Completed,Accident,106477,false,2022-12-18T16:25:00Z,San Manual,Arizona,United States,,N4144P,Piper,PA28,None,,0,false,Aviation,,DirectorBrief,2023-01-31T15:00:00Z,2023-01-25T05:00:00Z,2022-12-20T20:38:16.87Z,Final,,
DCA23LA096,Completed,Accident,106472,false,2022-12-18T12:07:00Z,Kahului,Hawaii,United States,,N393HA,Airbus,A330-243,Serious,,24,false,Aviation,,DirectorBrief,2024-12-12T19:00:00Z,2024-12-12T05:00:00Z,2022-12-29T21:56:21.899Z,Final,,
DCA23WA097,N/A,Accident,106473,false,2022-12-18T05:00:00Z,Chiacam,,Guatemala,,N87531,Boeing,737-824,Serious,,1,false,Aviation,,None,,,2023-01-03T20:44:02.812Z,Prelim,,
WPR23LA074,Completed,Accident,106496,false,2022-12-17T13:00:00Z,Cottonwood,California,United States,,N9YA,ROYSE RALPH L,Glasair,Minor,,1,false,Aviation,,DirectorBrief,2023-04-27T17:00:00Z,2023-04-27T04:00:00Z,2022-12-28T03:37:48.437Z,Final,,
GAA23WA074,N/A,Accident,106761,false,2022-12-17T05:00:00Z,Gunung Mas Regency,,Indonesia,,PK-PND,Thrush,S2R,None,,0,false,Aviation,,None,,,2023-04-06T20:01:53.617Z,Prelim,,
ERA23LA091,Completed,Accident,106470,false,2022-12-16T17:15:00Z,Brooksville,Florida,United States,,N5405V,Cessna,R172K,Minor,0,1,false,Aviation,,DirectorBrief,2024-03-28T17:00:00Z,2024-03-28T04:00:00Z,2022-12-21T23:46:24.407Z,Final,,
HWY23MH004,Completed,Accident,106467,false,2022-12-16T03:38:00Z,Williamsburg,Virginia,United States,HIR245,,,,Fatal,,,true,Highway,HIR245,Report,2023-12-20T17:00:00Z,2024-09-24T04:00:00Z,2024-08-12T04:00:00Z,Final,,
ANC23FA008,Completed,Accident,106468,false,2022-12-15T23:14:00Z,Kaupo,Hawaii,United States,,N13GZ,RAYTHEON AIRCRAFT COMPANY,C90A,Fatal,,3,false,Aviation,,DirectorBrief,2024-09-18T17:00:00Z,2024-09-18T04:00:00Z,2023-01-04T03:36:12.227Z,Final,,
WPR23LA100,Completed,Accident,106654,false,2022-12-15T22:45:00Z,Deming,New Mexico,United States,,N29447,Aeronca,65-CA,None,,0,false,Aviation,,DirectorBrief,2023-03-30T17:00:00Z,2023-03-30T04:00:00Z,2023-02-03T07:43:30.212Z,Final,,
ERA23LA154,Completed,Accident,106911,false,2022-12-15T16:20:00Z,Lexington,Kentucky,United States,,N3844C,Cessna,310R,None,,0,false,Aviation,,DirectorBrief,2024-10-03T17:00:00Z,2024-10-03T04:00:00Z,2023-04-04T15:42:43.316Z,Final,,
ANC23LA009,Completed,Accident,106474,false,2022-12-15T14:05:00Z,Lihue,Hawaii,United States,,N991AB,Beech,77,Serious,,2,false,Aviation,,DirectorBrief,2023-11-07T18:00:00Z,2023-11-07T05:00:00Z,2022-12-23T04:47:17.562Z,Final,,
CEN23LA065,Completed,Accident,106464,false,2022-12-15T12:56:00Z,Denton,Texas,United States,,N221MF,Cessna,172M,None,,0,false,Aviation,,DirectorBrief,2023-02-17T19:00:00Z,2023-03-02T05:00:00Z,2023-01-10T21:44:43.56Z,Final,,
CEN23LA064,Completed,Accident,106462,false,2022-12-15T10:15:00Z,Gulf of Mexico,Gulf of America,United States,,N414RL,Bell,206-L4,Minor,0,3,false,Aviation,,DirectorBrief,2024-04-18T17:00:00Z,2024-04-18T04:00:00Z,2023-01-18T01:18:48.864Z,Final,,
GAA23WA042,N/A,Accident,106459,false,2022-12-14T16:15:00Z,Happy Valley-Goose Bay,,Canada,,N5EQ,Piper,PA 46-350P,Fatal,,2,false,Aviation,,None,,,2023-02-24T00:38:47.592Z,Prelim,,
ERA23LA090,Completed,Accident,106463,false,2022-12-14T12:45:00Z,San Juan,Puerto Rico,United States,,N416PC,CIRRUS DESIGN CORP,SR22,None,,0,false,Aviation,,DirectorBrief,2023-06-15T17:00:00Z,2023-06-15T04:00:00Z,2022-12-27T18:01:42.398Z,Final,,
WPR23LA072,Completed,Accident,106480,false,2022-12-13T21:00:00Z,Liberal,Kansas,United States,,N253SB,Cessna,441,None,,0,false,Aviation,,DirectorBrief,2023-03-02T19:00:00Z,2023-03-02T05:00:00Z,2022-12-21T01:06:31.201Z,Final,,
ERA23LA089,Completed,Accident,106461,false,2022-12-13T12:55:00Z,Rockingham,North Carolina,United States,,N498DS,Piper,PA-38-112,None,0,0,false,Aviation,,DirectorBrief,2023-06-15T17:00:00Z,2023-06-15T04:00:00Z,2022-12-20T17:30:42.144Z,Final,,
WPR23LA065,Completed,Accident,106455,false,2022-12-13T12:06:00Z,Lewistown,Montana,United States,,C-GZPU,Piper,PA42,None,,0,false,Aviation,,DirectorBrief,2023-03-02T19:00:00Z,2023-03-02T05:00:00Z,2022-12-15T00:15:24.389Z,Final,,
ERA23FA087,Completed,Accident,106451,false,2022-12-13T11:25:00Z,Kellyton,Alabama,United States,,N74586,Mooney,M20B,Fatal,0,1,false,Aviation,,DirectorBrief,2025-02-20T19:00:00Z,2025-02-20T05:00:00Z,2022-12-15T20:49:22.258Z,Final,,
RRD23LR003,Completed,Accident,106446,false,2022-12-13T02:01:00Z,Bessemer,Alabama,United States,RIR2402,,,,Fatal,,,false,Railroad,RIR2402,DirectorBrief,2023-03-30T18:30:00Z,2024-04-09T04:00:00Z,2024-04-03T04:00:00Z,Final,,
CEN23LA062,Completed,Accident,106448,false,2022-12-12T22:05:00Z,Addison,Texas,United States,,N231GZ,MOONEY AIRCRAFT CORP.,M20K,Serious,0,2,false,Aviation,,DirectorBrief,2024-04-18T17:00:00Z,2024-04-18T04:00:00Z,2022-12-16T01:42:15.784Z,Final,,
WPR23LA066,Completed,Accident,106456,false,2022-12-12T19:35:00Z,Yuba City,California,United States,,N415RX,Airbus Helicopters,EC 130 T2,None,,0,false,Aviation,,DirectorBrief,2023-01-31T15:00:00Z,2023-02-09T05:00:00Z,2022-12-19T20:57:41.578Z,Final,,
ERA23LA085,Completed,Accident,106444,false,2022-12-12T15:50:00Z,Knoxville,Tennessee,United States,,N783SF,Cessna,172,None,0,0,false,Aviation,,DirectorBrief,2023-02-14T20:00:00Z,2023-02-23T05:00:00Z,2022-12-14T17:04:10.602Z,Final,,
GAA22WA311,N/A,Accident,106449,false,2022-12-11T17:45:00Z,Kildare,,Ireland,,N999RL,ROBINSON HELICOPTER COMPANY,R44 II,Fatal,,1,false,Aviation,,None,,,2023-02-24T00:38:21.082Z,Prelim,,
WPR23LA068,Completed,Accident,106469,false,2022-12-11T16:17:00Z,Rancho Cordova,California,United States,,N255SD,Eurocopter,EC120B,None,,0,false,Aviation,,DirectorBrief,2023-06-15T17:00:00Z,2023-06-15T04:00:00Z,2022-12-29T03:29:57.861Z,Final,,
ERA23LA084,Completed,Accident,106440,false,2022-12-11T14:20:00Z,Gilgo-Oak Beach-Captree,New York,United States,,N14HT,ROBINSON HELICOPTER,R22 BETA,None,0,0,false,Aviation,,DirectorBrief,2023-06-07T17:00:00Z,2023-06-06T04:00:00Z,2022-12-16T01:47:43.674Z,Final,,
ERA23LA088,Completed,Accident,106460,false,2022-12-10T17:30:00Z,Alabaster,Alabama,United States,,N5301G,Cessna,305,None,0,0,false,Aviation,,DirectorBrief,2023-06-15T17:00:00Z,2023-06-15T04:00:00Z,2022-12-20T00:45:41.38Z,Final,,
WPR23LA062,Completed,Accident,106441,false,2022-12-10T13:10:00Z,Socorro,New Mexico,United States,,N422B,Cessna,172N,None,,0,false,Aviation,,DirectorBrief,2023-05-04T17:00:00Z,2023-05-04T04:00:00Z,2022-12-13T00:41:38.432Z,Final,,
ERA23LA083,Completed,Accident,106438,false,2022-12-09T23:00:00Z,Hawkinsville,Georgia,United States,,N160PT,Piper,PA-44,Minor,0,1,false,Aviation,,DirectorBrief,2023-02-13T20:00:00Z,2023-02-23T05:00:00Z,2022-12-13T00:48:05.106Z,Final,,
WPR23LA064,Completed,Accident,106443,false,2022-12-09T13:05:00Z,Casa Grande,Arizona,United States,,190DK,ARADO-FLUGZEUGWERKE GMBH,FW190 A-5,None,,0,false,Aviation,,DirectorBrief,2023-01-31T15:00:00Z,2023-02-09T05:00:00Z,2022-12-13T04:23:45.293Z,Final,,
GAA23WA044,N/A,Accident,106478,false,2022-12-08T20:30:00Z,INACIOLÂNDIA,,Brazil,,PR-ADK,Cessna,188,,,,false,Aviation,,None,,2025-12-20T05:00:00Z,2023-07-05T18:58:10.455Z,Final,,
ERA23LA086,Completed,Accident,106447,false,2022-12-08T20:10:00Z,Covington,Georgia,United States,,N900AW,Beech,A36,None,,0,false,Aviation,,DirectorBrief,2024-10-03T17:00:00Z,2024-10-03T04:00:00Z,2022-12-22T23:07:55.145Z,Final,,
ANC23LA017,Completed,Accident,106662,false,2022-12-08T16:00:00Z,Wasilla,Alaska,United States,,N3861P,Piper,PA-22-150,None,,0,false,Aviation,,DirectorBrief,2023-04-06T17:00:00Z,2023-04-06T04:00:00Z,2023-02-01T00:45:14.717Z,Final,,
WPR23LA084,Completed,Accident,106541,false,2022-12-08T15:50:00Z,Maricopa,Arizona,United States,,N30WL,Cessna,TP206A,None,,0,false,Aviation,,DirectorBrief,2024-10-30T18:00:00Z,2024-10-30T04:00:00Z,2023-01-11T02:18:02.876Z,Final,,
DCA23LA093,Completed,Accident,106439,false,2022-12-08T14:11:00Z,Newark,New Jersey,United States,,N649UA,Boeing,767-322,Serious,,4,false,Aviation,,DirectorBrief,2024-05-17T18:00:00Z,2024-05-17T04:00:00Z,2022-12-12T20:30:20.11Z,Final,,
WPR23LA063,Completed,Accident,106442,false,2022-12-08T13:15:00Z,La Sal,Utah,United States,,N458HW,Hughes,369D,None,,0,false,Aviation,,DirectorBrief,2023-01-31T15:00:00Z,2023-01-25T05:00:00Z,2022-12-13T03:34:14.336Z,Final,,
WPR23LA061,Completed,Accident,106435,false,2022-12-07T18:42:00Z,Waimea,Hawaii,United States,,N130WS,Eurocopter,EC 130 B4,Minor,,1,false,Aviation,,DirectorBrief,2023-03-15T18:00:00Z,2023-03-15T04:00:00Z,2022-12-09T06:04:07.952Z,Final,,
WPR23LA059,Completed,Accident,106430,false,2022-12-07T15:15:00Z,Ft Worth,Texas,United States,,N2036F,Bell,206-L4,None,,0,false,Aviation,,DirectorBrief,2023-05-04T17:00:00Z,2023-05-04T04:00:00Z,2022-12-28T03:12:01.558Z,Final,,
CEN23LA063,Completed,Accident,106450,false,2022-12-06T11:30:00Z,Mission,Texas,United States,,N4205X,ROCKWELL INTERNATIONAL,S2R-G6,None,,0,false,Aviation,,DirectorBrief,2023-05-04T17:00:00Z,2023-05-04T04:00:00Z,2022-12-16T02:29:07.473Z,Final,,
CEN23FA060,Completed,Accident,106419,false,2022-12-05T23:16:00Z,Yukon,Oklahoma,United States,,N9142Q,Beech,F33A,Fatal,0,3,false,Aviation,,DirectorBrief,2024-11-07T19:00:00Z,2024-11-07T05:00:00Z,2022-12-08T23:23:37.128Z,Final,,
CEN23LA061,Completed,Accident,106422,false,2022-12-05T19:28:00Z,St. Louis,Missouri,United States,,N602TG,ORLICAN S R O,M-8 EAGLE,Minor,,2,false,Aviation,,DirectorBrief,2024-03-28T17:00:00Z,2024-03-28T04:00:00Z,2022-12-07T20:30:09.002Z,Final,,
GAA23WA043,N/A,Accident,106471,false,2022-12-05T19:20:00Z,PONTA GROSSA,Other Foreign,Brazil,,PT-WBH,Piper,PA25,Minor,,1,false,Aviation,,None,,,2022-12-20T18:16:12.768Z,Prelim,,
DCA23WA474,N/A,Occurrence,194185,false,2022-12-05T16:29:00Z,Dortmund,Other Foreign,Germany,,EI-DLV,Boeing,737,,,,false,Aviation,,None,,,2024-05-01T16:48:39.518Z,Prelim,,
DCA23WA091,N/A,Accident,106433,false,2022-12-05T16:29:00Z,Dortmund,,Germany,,EI-DLV,Boeing,737,,,,false,Aviation,,None,,,2022-12-09T00:38:15.17Z,Prelim,,
CEN23FA059,Completed,Accident,106417,false,2022-12-05T14:40:00Z,Corning,Iowa,United States,,N99345,ENGINEERING & RESEARCH,ERCOUPE 415-C,Fatal,,1,false,Aviation,,DirectorBrief,2024-11-07T19:00:00Z,2024-11-07T05:00:00Z,2022-12-08T03:22:05.344Z,Final,,
ERA23LA080,Completed,Accident,106421,false,2022-12-05T12:52:00Z,Woodsfield,Ohio,United States,,N257ED,JAMES R DERNOVSEK,Kitfox,Minor,0,2,false,Aviation,,DirectorBrief,2023-06-07T17:00:00Z,2023-06-06T04:00:00Z,2022-12-07T00:21:51.291Z,Final,,
DCA23WA100,N/A,Incident,106485,false,2022-12-05T05:00:00Z,Bangkok,,Thailand,,HS-LUZ,Boeing,737-800,None,,0,false,Aviation,,None,,,2022-12-22T18:39:25.925Z,Prelim,,
CEN23FA057,Completed,Accident,106408,false,2022-12-04T22:56:00Z,Cleburne,Texas,United States,,N8149Z,Cessna,210-5(205),Fatal,,2,false,Aviation,,DirectorBrief,2024-10-30T18:00:00Z,2024-10-30T04:00:00Z,2022-12-12T19:02:16.256Z,Final,,
ERA23FA078,Completed,Accident,106407,false,2022-12-04T13:35:00Z,Beverly,Massachusetts,United States,,N401GR,ROTORSPORT UK LTD,Cavalon,Fatal,0,1,false,Aviation,,DirectorBrief,2024-11-26T18:00:00Z,2024-11-26T05:00:00Z,2022-12-07T22:18:09.478Z,Final,,
WPR23LA054,Completed,Accident,106424,false,2022-12-04T12:15:00Z,Fergus Falls,Minnesota,United States,,N926HM,Cessna,A185F,None,,0,false,Aviation,,DirectorBrief,2023-01-05T12:00:00Z,2023-01-09T05:00:00Z,2022-12-07T20:39:28.532Z,Final,,
ERA23FA079,Completed,Accident,106409,false,2022-12-03T21:38:00Z,Venice,Florida,United States,,N4676F,Piper,PA28,Fatal,0,3,false,Aviation,,DirectorBrief,2024-11-21T18:00:00Z,2024-11-21T05:00:00Z,2022-12-09T02:48:01.862Z,Final,,
DCA23LA090,Completed,Accident,106414,false,2022-12-03T18:11:00Z,Taneytown,Maryland,United States,,N85356,Embraer,ERJ170,Serious,0,1,false,Aviation,,DirectorBrief,2024-03-12T18:00:00Z,2024-03-12T04:00:00Z,2023-01-20T03:30:42.244Z,Final,,
CEN23LA058,Completed,Accident,106415,false,2022-12-03T18:09:00Z,Regent,North Dakota,United States,,N7659X,Stinson,108-3,Minor,,3,false,Aviation,,DirectorBrief,2023-02-17T19:00:00Z,2023-03-02T05:00:00Z,2022-12-07T01:42:00.38Z,Final,,
ANC23LA016,Completed,Accident,106642,false,2022-12-03T16:50:00Z,Anchorage,Alaska,United States,,N8365V,Champion,7GCBC,None,,0,false,Aviation,,DirectorBrief,2023-07-27T17:00:00Z,2023-07-27T04:00:00Z,2023-01-28T00:46:30.679Z,Final,,
WPR23LA053,Completed,Accident,106416,false,2022-12-03T13:00:00Z,Morgan,Utah,United States,,N60WY,AVIAT AIRCRAFT INC,A-1C-180,None,,0,false,Aviation,,DirectorBrief,2023-01-31T15:00:00Z,2023-02-09T05:00:00Z,2022-12-06T00:43:43.965Z,Final,,
PLD23FR001,Completed,Accident,106406,false,2022-12-03T05:00:00Z,Atlanta,Georgia,United States,,,,,Fatal,2,,false,Pipeline,,CloseoutMemo,,2023-04-19T04:00:00Z,,Final,,
DCA23WA087,N/A,Incident,106404,false,2022-12-02T20:17:00Z,Barranquilla,Other Foreign,Colombia,,N3014R,Airbus,A319-115,None,0,0,false,Aviation,,None,,,2023-01-27T02:20:34.378Z,Prelim,,
ERA23FA077,Completed,Accident,106405,false,2022-12-02T17:04:00Z,Falmouth,Massachusetts,United States,,N3515H,Mooney,M20J,Fatal,,2,false,Aviation,,DirectorBrief,2024-12-05T18:00:00Z,2024-12-05T05:00:00Z,2022-12-06T00:33:40.967Z,Final,,
ERA23LA081,Completed,Accident,106436,false,2022-12-01T23:08:00Z,Guantanamo Bay,Other Foreign,Cuba,,N979RF,Learjet,35,None,0,0,false,Aviation,,DirectorBrief,2023-06-07T17:00:00Z,2023-06-06T04:00:00Z,2022-12-19T19:54:36.063Z,Final,,
GAA23WA038,N/A,Accident,106418,false,2022-12-01T15:11:00Z,Jraber township,,Armenia,,OM-KVV,Beech,95-B55,None,,0,false,Aviation,,None,,,2023-11-08T01:37:03.466Z,Prelim,,
DCA23WA391,N/A,Incident,192776,false,2022-12-01T05:00:00Z,Ciudad de la Costa,,Uruguay,,EC-MLP,Airbus,A330,,,,false,Aviation,,None,,,2023-08-02T21:46:39.221Z,Prelim,,
DCA23WA083,N/A,Occurrence,106390,false,2022-11-30T22:30:00Z,"Rosario, Santa Fe",Other Foreign,Argentina,,C-FNNU,Boeing,777,,,,false,Aviation,,None,,,2023-01-27T18:55:48.833Z,Prelim,,
WPR23FA047,Completed,Accident,106386,false,2022-11-30T13:00:00Z,Torrance,California,United States,,N60MY,GREG HOBBS,Lightning,Fatal,,2,false,Aviation,,DirectorBrief,2024-12-05T18:00:00Z,2024-12-05T05:00:00Z,2022-12-06T21:56:04.111Z,Final,,
ERA23LA075,Completed,Accident,106398,false,2022-11-30T09:35:00Z,Newport News,Virginia,United States,,N12FN,GATES LEAR JET CORP.,36,None,0,0,false,Aviation,,DirectorBrief,2024-05-02T17:00:00Z,2024-05-02T04:00:00Z,2022-12-03T01:15:50.868Z,Final,,
DCA23WA088,N/A,Incident,106410,false,2022-11-30T05:00:00Z,Brisbane,Other Foreign,Australia,,VH-YFK,Boeing,737,,0,,false,Aviation,,None,,,2023-01-27T02:17:56.726Z,Prelim,,
DCA23LA086,Completed,Accident,106401,false,2022-11-30T01:00:00Z,Denver,Colorado,United States,,N946WN,Boeing,737,Serious,0,2,false,Aviation,,DirectorBrief,2023-10-16T18:00:00Z,2023-10-16T04:00:00Z,2023-01-27T18:51:15.23Z,Final,,
CEN23LA056,Completed,Accident,106387,false,2022-11-29T21:10:00Z,Batesville,Arkansas,United States,,N988MC,LEARJET INC,45,Minor,,2,false,Aviation,,DirectorBrief,2024-04-10T17:00:00Z,2024-04-10T04:00:00Z,2022-12-01T03:40:22.321Z,Final,,
GAA23WA035,N/A,Accident,106412,false,2022-11-29T19:40:00Z,Drummondville,,Canada,,unknown,Rotorway,unk,Fatal,,1,false,Aviation,,None,,,2023-03-15T19:41:40.164Z,Prelim,,
DCA23RM009,Completed,,106389,false,2022-11-29T05:00:00Z,At sea,,,NA,,,,Fatal,,,false,Marine,NA,CloseoutMemo,2024-02-09T17:00:00Z,2024-02-10T05:00:00Z,2024-02-05T05:00:00Z,Final,,
CEN23FA050,Completed,Accident,106369,false,2022-11-28T10:20:00Z,Gage,Oklahoma,United States,,N2710D,Cessna,170,Fatal,0,2,false,Aviation,,DirectorBrief,2024-08-21T17:00:00Z,2024-08-21T04:00:00Z,2022-11-29T02:04:51.933Z,Final,,
GAA23WA031,N/A,Accident,106376,false,2022-11-27T21:10:00Z,Kesova Gora,,Russia,,RA- 07390,Robinson,R66,Fatal,,2,false,Aviation,,None,,,2023-06-26T19:27:17.924Z,Prelim,,
ERA23LA071,Completed,Accident,106368,false,2022-11-27T19:29:00Z,Gaithersburg,Maryland,United States,,N201RF,Mooney,M20J,Serious,0,2,false,Aviation,,DirectorBrief,2024-06-20T17:00:00Z,2024-06-20T04:00:00Z,2022-12-07T00:48:45.71Z,Final,,
CEN23LA124,Completed,Accident,106832,false,2022-11-27T16:30:00Z,Waco,Texas,United States,,N9468T,Cessna,210,None,0,0,false,Aviation,,DirectorBrief,2024-04-18T17:00:00Z,2024-04-18T04:00:00Z,2023-03-08T19:49:31.928Z,Final,,
